avgTemp,minTemp,maxTemp,fainFall,avgPrice
1.7,17.9,25.7,3.3,4047
1.4,19.4,25.9,2,3973
1.3,20.1,27.5,0.4,4109
1.2,21,27.7,1.4,4098
1.1,21.8,29.5,0.8,4098
1.1,21.3,30.2,0,4098
0.7,21.9,31,1.4,4098
0.9,22.4,30.9,0.7,4048
0.9,22.1,31.8,0,4223
0.9,21.1,32.1,0,4309
2.1,20.6,30.3,0.5,4182
1.7,20.9,29.5,0.2,4182
1.8,19.4,28.3,2.1,4182
1,18.3,28.1,1.9,3731
1.5,16.7,28.3,0.1,3650
1,14.8,27.9,0,3561
0.6,18.7,25.8,0.1,3415
0.5,18.8,23.9,1.6,3485
1.2,18.1,22.1,16.2,3485
1.1,19.1,24.6,24.5,3485
0.8,21.1,28.2,4,3485
0.8,21.3,29.5,0.1,3485
1,21.3,30.5,0,3757
0.9,20.4,31.1,0,3643
0.9,20.6,31.5,0,3698
1.7,21,30,3.3,3698
2.8,19,25.3,3.6,3698
3,15.7,20.5,0.6,3521
2.5,13.5,21.5,0.1,3424
1.7,12.1,23.2,0,3422
1.2,10.4,24,0,3176
0.9,11.1,25.3,0,2858
0.9,11.9,25.5,0,2858
0.9,12.5,25.8,0,2858
1.2,12.2,26.5,0,2651
0.7,11.2,26.4,0,2472
0.8,13.7,23.5,0,2538
2,16,20.2,12.4,2219
1.3,11.8,21.5,0.2,2308
1.1,8.7,19.3,0,2308
0.9,8.2,18.7,0,2308
0.9,6,20.1,0,2308
1,6.5,21.9,0,2463
1.4,11,22.5,0,2466
1.1,9.9,22.3,0,2183
0.7,7.9,21.7,0,2292
0.8,8.2,22.7,0,2292
0.9,9.1,23.1,0,2292
1.2,10.5,24.5,0,2289
0.7,10.8,23.8,0,2378
0.8,8.5,21.5,0,2345
0.6,10.9,24.6,0,2177
1.8,12.4,16.1,9.8,2220
2.6,11.8,20.6,5.3,2220
1.9,10.8,20.4,0.4,2220
0.9,7.2,19.1,0,2376
0.8,3.3,17.9,0,2299
0.8,4.1,21.1,0,2282
1.6,9.1,21.4,0,2250
0.8,11.5,20.1,9.1,2225
0.9,11.9,19,22,2225
2,10.1,19.7,0,2225
2,11,17,1.9,2207
0.8,3.8,13.5,0,2208
0.8,1,16.5,0,2208
0.7,3.5,19.4,0,2209
0.9,7.7,20.2,0,2217
0.9,10,17.1,2.3,2217
1,9.8,19.6,0.3,2217
0.9,7.3,21.2,0,1999
0.9,8.1,22.3,0,1973
1,12.5,22.1,0.1,1959
0.9,12.1,23.8,0,1921
1.6,14,23.8,2.3,1900
2.3,16.2,23.4,21.1,1900
0.7,14.5,19,9,1900
1.6,13.3,19.2,0.3,1834
2.2,11.8,17.6,1.1,1796
0.9,11.4,16.6,0.8,1741
0.8,10.1,16.9,0.1,1611
1.1,9.3,16.6,1.9,1480
1.3,7.7,17,0,1480
1.5,7.5,17,0,1480
1,3.5,13.5,0,1470
0.9,1.7,14,0,1415
1,1.7,17,0,1342
1,6.8,15.7,1,1197
2.6,11.4,17.5,20.6,1168
3.1,7.6,18.1,6.3,1168
1.7,0.9,7.7,0,1168
0.6,-1.8,8.4,0,1146
2.8,-1.1,9.2,0.2,1131
3,1.9,10.4,5.2,1135
1.3,-1.7,5.9,0,1122
0.4,-1.8,9.3,0,1129
0.8,-0.9,12.5,0,1129
0.6,5.2,17.5,0.1,1129
1.8,7.8,18.2,0.4,1101
3.5,8.2,16.6,2.4,1093
2.9,5,11.5,29.7,1106
2.5,4.3,8.2,1.6,1106
1,3,9.4,2.6,1106
1.3,3.2,9.6,7,1106
0.7,0.9,9,0,1106
0.7,-1.7,8.2,0,1189
0.8,1.6,9.2,0.2,1181
2.2,2.4,9.1,0,1181
1.9,-0.5,7.4,1.7,1141
1.4,-3,2.7,1.5,1132
1.6,-4.7,3.4,0.5,1132
1.2,-0.5,7,0,1132
0.7,-0.5,9.5,0,1149
1.1,-3.4,9.8,0,1133
2.7,-2.8,10,0,1133
2.5,-3.9,5.3,0,1193
1.3,-6.4,-0.3,0.5,1214
1.2,-8.1,1.5,0,1214
1,-4.9,4.3,0,1214
0.9,-6,4.7,0,1241
0.7,-5.8,5.5,0,1241
3,-1.9,6.7,0.1,1241
1.1,-6.6,3.5,0.1,1316
2.1,-9.3,1,0.3,1308
2.7,-7.2,1.2,0.8,1308
1.6,-7.9,0,0.1,1308
0.6,-9,0.2,0,1251
0.8,-9.1,3.8,0,1282
1.4,-6.3,5.9,0.1,1323
0.8,-4.5,5.4,0.3,1338
0.8,-6.7,4.6,0,1326
1.7,-7.1,3.8,0,1326
1,-4.7,3.8,0.4,1326
1.3,-7.5,2.6,0,1319
2.2,-5.8,2.8,0.7,1319
1.1,-6.6,-1,0.8,1319
0.9,-8.7,1.5,0,1338
0.6,-7.8,3.7,0,1338
1.1,-9,4.1,0,1338
1.3,-8.2,4.7,0,1338
1.2,-4,4.9,0,1350
1.9,-3.7,4.5,0,1347
1.1,-7.6,0.7,0,1340
1,-9.6,2.2,0,1192
1.1,-4.8,5.3,0,1194
0.5,-6.6,4.9,0,1194
0.9,-3.9,3.8,0,1194
0.7,-4,7.3,2,1190
0.7,-1.2,8.6,0.2,1240
3.3,-1.8,7.3,0.4,1240
2.8,1.7,7.4,5.9,1288
0.8,3.5,8.9,1.4,1374
3.4,1.4,6.7,1.5,1374
2.3,-6.2,2.5,0,1374
1.5,-9.6,-2.3,0,1374
2.4,-10.6,-0.7,0.2,1374
1.4,-9.7,-2,0.7,1377
0.8,-10.9,3.2,0,1427
1.1,-4.9,6.1,0.1,1431
1.4,-3.8,5.7,0,1431
1.8,-5.8,4.8,0,1431
1.1,-7.1,2.4,0,1386
3,-9.2,3.4,3.3,1374
1.7,-10.6,-0.4,0.3,1510
1.1,-13.9,-5.7,0.1,1522
1.4,-13.7,-0.9,0,1522
0.7,-7.5,4.1,0.1,1522
0.7,-5.2,5.6,0,1522
3.7,-4.3,6.2,1.6,1488
2.6,-8.5,3,0,1511
2.2,-11.1,-1.6,0.4,1576
2,-8.8,1.7,0.2,1598
1.6,-6.2,3.7,0,1629
1,-8,3.6,0,1629
0.7,-7.2,6.7,0,1629
1.2,-0.9,6.5,0.5,1679
1.8,-0.8,9,3.4,1676
3.1,-1,7,0,1732
3.1,-3.7,4.9,0,1779
